aspect_key,aspect_label,term,count_high,count_low,total_high,total_low,low_review_share,high_review_share,lift_low_vs_high,log_lift_low_vs_high,afinn_term_score,term_sentiment,term_type
value_rating,Value,wood,2,6,254,85,0.076,0.01,7.709,2.042,0,neutral,word
value_rating,Value,closed,5,13,254,85,0.157,0.022,7.278,1.985,0,neutral,word
value_rating,Value,doors,5,13,254,85,0.157,0.022,7.278,1.985,0,neutral,word
value_rating,Value,charge,3,8,254,85,0.099,0.014,7.201,1.974,0,neutral,word
value_rating,Value,price,9,22,254,85,0.262,0.037,7.023,1.949,0,neutral,word
value_rating,Value,alternative,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,bedrooms,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,carte,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,champagne,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,concern,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,contact,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,cooked,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,corner,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,cut,1,3,254,85,0.041,0.006,6.919,1.934,-1,negative,word
value_rating,Value,drinking,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,entered,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,fan,1,3,254,85,0.041,0.006,6.919,1.934,3,positive,word
value_rating,Value,feature,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,forgot,1,3,254,85,0.041,0.006,6.919,1.934,-1,negative,word
value_rating,Value,furnished,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,giving,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,healthy,1,3,254,85,0.041,0.006,6.919,1.934,2,positive,word
value_rating,Value,hungry,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,internet,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,lit,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,meters,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,negatives,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,nicer,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,patio,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,power,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,proper,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,rates,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
value_rating,Value,reservations,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,word
